n,n_next,t_hat_1e6_n,t_hat_1e6_next,delta_t_hat_1e6,abs_delta_t_hat_1e6,fracture_threshold_1e6,fracture_class
1158,1159,0,515151,515151,515151,200000,STRONG
1159,1160,515151,0,-515151,515151,200000,STRONG
1176,1177,0,272727,272727,272727,200000,MODERATE
1177,1178,272727,0,-272727,272727,200000,MODERATE
1188,1189,0,818181,818181,818181,200000,EXTREME
1189,1190,818181,0,-818181,818181,200000,EXTREME
1198,1199,0,272727,272727,272727,200000,MODERATE
1199,1200,272727,0,-272727,272727,200000,MODERATE
1206,1207,0,454545,454545,454545,200000,MODERATE
1207,1208,454545,0,-454545,454545,200000,MODERATE
1218,1219,0,636363,636363,636363,200000,STRONG
1219,1220,636363,0,-636363,636363,200000,STRONG
1240,1241,0,441176,441176,441176,200000,MODERATE
1241,1242,441176,0,-441176,441176,200000,MODERATE
1242,1243,0,264705,264705,264705,200000,MODERATE
1243,1244,264705,0,-264705,264705,200000,MODERATE
1246,1247,0,794117,794117,794117,200000,STRONG
1247,1248,794117,0,-794117,794117,200000,STRONG
1260,1261,0,323529,323529,323529,200000,MODERATE
1261,1262,323529,0,-323529,323529,200000,MODERATE
1270,1271,0,852941,852941,852941,200000,EXTREME
1271,1272,852941,0,-852941,852941,200000,EXTREME
1272,1273,0,500000,500000,500000,200000,STRONG
1273,1274,500000,0,-500000,500000,200000,STRONG
1312,1313,0,314285,314285,314285,200000,MODERATE
1313,1314,314285,0,-314285,314285,200000,MODERATE
1330,1331,0,257142,257142,257142,200000,MODERATE
1331,1332,257142,0,-257142,257142,200000,MODERATE
1332,1333,0,828571,828571,828571,200000,EXTREME
1333,1334,828571,0,-828571,828571,200000,EXTREME
1338,1339,0,314285,314285,314285,200000,MODERATE
1339,1340,314285,0,-314285,314285,200000,MODERATE
1342,1343,0,428571,428571,428571,200000,MODERATE
1343,1344,428571,0,-428571,428571,200000,MODERATE
1348,1349,0,485714,485714,485714,200000,MODERATE
1349,1350,485714,0,-485714,485714,200000,MODERATE
1356,1357,0,600000,600000,600000,200000,STRONG
1357,1358,600000,0,-600000,600000,200000,STRONG
1362,1363,0,771428,771428,771428,200000,STRONG
1363,1364,771428,0,-771428,771428,200000,STRONG
1368,1369,0,972222,972222,972222,200000,EXTREME
1369,1370,972222,0,-972222,972222,200000,EXTREME
1386,1387,0,472222,472222,472222,200000,MODERATE
1387,1388,472222,0,-472222,472222,200000,MODERATE
1390,1391,0,305555,305555,305555,200000,MODERATE
1391,1392,305555,0,-305555,305555,200000,MODERATE
1396,1397,0,250000,250000,250000,200000,MODERATE
1397,1398,250000,0,-250000,250000,200000,MODERATE
1402,1403,0,583333,583333,583333,200000,STRONG
1403,1404,583333,0,-583333,583333,200000,STRONG
1410,1411,0,416666,416666,416666,200000,MODERATE
1411,1412,416666,0,-416666,416666,200000,MODERATE
1416,1417,0,305555,305555,305555,200000,MODERATE
1417,1418,305555,0,-305555,305555,200000,MODERATE
1440,1441,0,250000,250000,250000,200000,MODERATE
1441,1442,250000,0,-250000,250000,200000,MODERATE
1456,1457,0,783783,783783,783783,200000,STRONG
1457,1458,783783,0,-783783,783783,200000,STRONG
1468,1469,0,297297,297297,297297,200000,MODERATE
1469,1470,297297,0,-297297,297297,200000,MODERATE
1500,1501,0,459459,459459,459459,200000,MODERATE
1501,1502,459459,0,-459459,459459,200000,MODERATE
1506,1507,0,243243,243243,243243,200000,MODERATE
1507,1508,243243,0,-243243,243243,200000,MODERATE
1512,1513,0,405405,405405,405405,200000,MODERATE
1513,1514,405405,0,-405405,405405,200000,MODERATE
1516,1517,0,945945,945945,945945,200000,EXTREME
1517,1518,945945,0,-945945,945945,200000,EXTREME
1528,1529,0,236842,236842,236842,200000,MODERATE
1529,1530,236842,0,-236842,236842,200000,MODERATE
1536,1537,0,710526,710526,710526,200000,STRONG
1537,1538,710526,0,-710526,710526,200000,STRONG
1540,1541,0,552631,552631,552631,200000,STRONG
1541,1542,552631,0,-552631,552631,200000,STRONG
1572,1573,0,236842,236842,236842,200000,MODERATE
1573,1574,236842,0,-236842,236842,200000,MODERATE
1576,1577,0,447368,447368,447368,200000,MODERATE
1577,1578,447368,0,-447368,447368,200000,MODERATE
1590,1591,0,921052,921052,921052,200000,EXTREME
1591,1592,921052,0,-921052,921052,200000,EXTREME
1632,1633,0,538461,538461,538461,200000,STRONG
1633,1634,538461,0,-538461,538461,200000,STRONG
1638,1639,0,230769,230769,230769,200000,MODERATE
1639,1640,230769,0,-230769,230769,200000,MODERATE
1642,1643,0,743589,743589,743589,200000,STRONG
1643,1644,743589,0,-743589,743589,200000,STRONG
1648,1649,0,384615,384615,384615,200000,MODERATE
1649,1650,384615,0,-384615,384615,200000,MODERATE
1650,1651,0,282051,282051,282051,200000,MODERATE
1651,1652,282051,0,-282051,282051,200000,MODERATE
1660,1661,0,230769,230769,230769,200000,MODERATE
1661,1662,230769,0,-230769,230769,200000,MODERATE
1678,1679,0,538461,538461,538461,200000,STRONG
1679,1680,538461,0,-538461,538461,200000,STRONG
1680,1681,0,975000,975000,975000,200000,EXTREME
1681,1682,975000,0,-975000,975000,200000,EXTREME
1690,1691,0,425000,425000,425000,200000,MODERATE
1691,1692,425000,0,-425000,425000,200000,MODERATE
1702,1703,0,275000,275000,275000,200000,MODERATE
1703,1704,275000,0,-275000,275000,200000,MODERATE
1710,1711,0,675000,675000,675000,200000,STRONG
1711,1712,675000,0,-675000,675000,200000,STRONG
1716,1717,0,375000,375000,375000,200000,MODERATE
1717,1718,375000,0,-375000,375000,200000,MODERATE
1726,1727,0,225000,225000,225000,200000,MODERATE
1727,1728,225000,0,-225000,225000,200000,MODERATE
1738,1739,0,875000,875000,875000,200000,EXTREME
1739,1740,875000,0,-875000,875000,200000,EXTREME
1750,1751,0,375000,375000,375000,200000,MODERATE
1751,1752,375000,0,-375000,375000,200000,MODERATE
1762,1763,0,975000,975000,975000,200000,EXTREME
1763,1764,975000,0,-975000,975000,200000,EXTREME
1768,1769,0,658536,658536,658536,200000,STRONG
1769,1770,658536,0,-658536,658536,200000,STRONG
1780,1781,0,268292,268292,268292,200000,MODERATE
1781,1782,268292,0,-268292,268292,200000,MODERATE
1792,1793,0,219512,219512,219512,200000,MODERATE
1793,1794,219512,0,-219512,219512,200000,MODERATE
1806,1807,0,268292,268292,268292,200000,MODERATE
1807,1808,268292,0,-268292,268292,200000,MODERATE
1816,1817,0,512195,512195,512195,200000,STRONG
1817,1818,512195,0,-512195,512195,200000,STRONG
1818,1819,0,365853,365853,365853,200000,MODERATE
1819,1820,365853,0,-365853,365853,200000,MODERATE
1828,1829,0,707317,707317,707317,200000,STRONG
1829,1830,707317,0,-707317,707317,200000,STRONG
1836,1837,0,219512,219512,219512,200000,MODERATE
1837,1838,219512,0,-219512,219512,200000,MODERATE
1842,1843,0,414634,414634,414634,200000,MODERATE
1843,1844,414634,0,-414634,414634,200000,MODERATE
1848,1849,0,976190,976190,976190,200000,EXTREME
1849,1850,976190,0,-976190,976190,200000,EXTREME
1852,1853,0,357142,357142,357142,200000,MODERATE
1853,1854,357142,0,-357142,357142,200000,MODERATE
1858,1859,0,214285,214285,214285,200000,MODERATE
1859,1860,214285,0,-214285,214285,200000,MODERATE
1890,1891,0,690476,690476,690476,200000,STRONG
1891,1892,690476,0,-690476,690476,200000,STRONG
1902,1903,0,214285,214285,214285,200000,MODERATE
1903,1904,214285,0,-214285,214285,200000,MODERATE
1908,1909,0,500000,500000,500000,200000,STRONG
1909,1910,500000,0,-500000,500000,200000,STRONG
1918,1919,0,404761,404761,404761,200000,MODERATE
1919,1920,404761,0,-404761,404761,200000,MODERATE
1920,1921,0,357142,357142,357142,200000,MODERATE
1921,1922,357142,0,-357142,357142,200000,MODERATE
1926,1927,0,928571,928571,928571,200000,EXTREME
1927,1928,928571,0,-928571,928571,200000,EXTREME
1936,1937,0,255813,255813,255813,200000,MODERATE
1937,1938,255813,0,-255813,255813,200000,MODERATE
1942,1943,0,627906,627906,627906,200000,STRONG
1943,1944,627906,0,-627906,627906,200000,STRONG
1956,1957,0,395348,395348,395348,200000,MODERATE
1957,1958,395348,0,-395348,395348,200000,MODERATE
1960,1961,0,813953,813953,813953,200000,EXTREME
1961,1962,813953,0,-813953,813953,200000,EXTREME
1962,1963,0,255813,255813,255813,200000,MODERATE
1963,1964,255813,0,-255813,255813,200000,MODERATE
1968,1969,0,209302,209302,209302,200000,MODERATE
1969,1970,209302,0,-209302,209302,200000,MODERATE
1990,1991,0,209302,209302,209302,200000,MODERATE
1991,1992,209302,0,-209302,209302,200000,MODERATE
2020,2021,0,953488,953488,953488,200000,EXTREME
2021,2022,953488,0,-953488,953488,200000,EXTREME
2032,2033,0,386363,386363,386363,200000,MODERATE
2033,2034,386363,0,-386363,386363,200000,MODERATE
2040,2041,0,250000,250000,250000,200000,MODERATE
2041,2042,250000,0,-250000,250000,200000,MODERATE
2046,2047,0,477272,477272,477272,200000,MODERATE
2047,2048,477272,0,-477272,477272,200000,MODERATE
2056,2057,0,204545,204545,204545,200000,MODERATE
2057,2058,204545,0,-204545,204545,200000,MODERATE
