epoch_type,n_start,n_end,length
SHOCK_FREE,18350,18381,32
SHOCK_FREE,18438,18461,24
SHOCK_FREE,18468,18495,28
SHOCK_FREE,18534,18557,24
SHOCK_FREE,18590,18609,20
SHOCK_FREE,18674,18701,28
SHOCK_FREE,18738,18759,22
SHOCK_FREE,18780,18815,36
SHOCK_FREE,18902,18921,20
SHOCK_FREE,18924,18959,36
SHOCK_FREE,19050,19091,42
SHOCK_FREE,19154,19175,22
SHOCK_FREE,19200,19221,22
SHOCK_FREE,19242,19275,34
SHOCK_FREE,19368,19449,82
SHOCK_FREE,19452,19491,40
SHOCK_FREE,19562,19629,68
SHOCK_FREE,19694,19727,34
SHOCK_FREE,19730,19767,38
SHOCK_FREE,19788,19821,34
SHOCK_FREE,19848,19869,22
SHOCK_FREE,19910,19931,22
SHOCK_FREE,19968,20001,34
SHOCK_FREE,20018,20055,38
SHOCK_FREE,20058,20079,22
SHOCK_FREE,20100,20129,30
SHOCK_FREE,20132,20189,58
SHOCK_FREE,20258,20289,32
SHOCK_FREE,20304,20349,46
SHOCK_FREE,20352,20379,28
SHOCK_FREE,20382,20411,30
SHOCK_FREE,20514,20555,42
SHOCK_FREE,20570,20589,20
SHOCK_FREE,20660,20685,26
SHOCK_FREE,20712,20735,24
SHOCK_FREE,20738,20775,38
SHOCK_FREE,20778,20801,24
SHOCK_FREE,20838,20861,24
SHOCK_FREE,20870,20939,70
SHOCK_FREE,20942,20969,28
SHOCK_FREE,20990,21035,46
SHOCK_FREE,21054,21077,24
SHOCK_FREE,21080,21101,22
SHOCK_FREE,21128,21165,38
SHOCK_FREE,21182,21207,26
SHOCK_FREE,21210,21237,28
SHOCK_FREE,21362,21387,26
SHOCK_FREE,21422,21441,20
SHOCK_FREE,21480,21507,28
SHOCK_FREE,21510,21531,22
SHOCK_FREE,21534,21581,48
SHOCK_FREE,21584,21627,44
SHOCK_FREE,21632,21651,20
SHOCK_FREE,21692,21717,26
SHOCK_FREE,21734,21759,26
SHOCK_FREE,21762,21795,34
SHOCK_FREE,21830,21875,46
SHOCK_FREE,21900,21939,40
SHOCK_FREE,21950,21969,20
SHOCK_FREE,21972,22005,34
SHOCK_FREE,22020,22079,60
SHOCK_FREE,22082,22161,80
SHOCK_FREE,22238,22259,22
SHOCK_FREE,22262,22311,50
SHOCK_FREE,22362,22385,24
SHOCK_FREE,22428,22457,30
SHOCK_FREE,22460,22485,26
SHOCK_FREE,22524,22575,52
SHOCK_FREE,22602,22655,54
SHOCK_FREE,22682,22701,20
SHOCK_FREE,22704,22731,28
SHOCK_FREE,22754,22799,46
SHOCK_FREE,22802,22827,26
SHOCK_FREE,22850,22871,22
SHOCK_FREE,22904,22925,22
SHOCK_FREE,22928,22947,20
SHOCK_FREE,23000,23075,76
SHOCK_FREE,23084,23117,34
SHOCK_FREE,23148,23181,34
SHOCK_FREE,23184,23211,28
SHOCK_FREE,23214,23247,34
SHOCK_FREE,23268,23321,54
SHOCK_FREE,23424,23447,24
SHOCK_FREE,23454,23477,24
SHOCK_FREE,23534,23585,52
SHOCK_FREE,23588,23639,52
SHOCK_FREE,23660,23699,40
SHOCK_FREE,23730,23789,60
SHOCK_FREE,23798,23841,44
SHOCK_FREE,23862,23921,60
SHOCK_FREE,23952,23997,46
SHOCK_FREE,24000,24045,46
SHOCK_FREE,24068,24117,50
SHOCK_FREE,24140,24159,20
SHOCK_FREE,24164,24207,44
SHOCK_FREE,24222,24251,30
SHOCK_FREE,24258,24285,28
SHOCK_FREE,24320,24339,20
SHOCK_FREE,24348,24381,34
SHOCK_FREE,24384,24431,48
SHOCK_FREE,24434,24455,22
SHOCK_FREE,24654,24719,66
SHOCK_FREE,24752,24777,26
SHOCK_FREE,24840,24879,40
SHOCK_FREE,24902,24927,26
SHOCK_FREE,24962,24989,28
SHOCK_FREE,25022,25041,20
SHOCK_FREE,25064,25131,68
SHOCK_FREE,25134,25157,24
SHOCK_FREE,25160,25185,26
SHOCK_FREE,25218,25239,22
SHOCK_FREE,25242,25269,28
SHOCK_FREE,25298,25329,32
SHOCK_FREE,25352,25377,26
SHOCK_FREE,25398,25425,28
SHOCK_FREE,25430,25475,46
SHOCK_FREE,25512,25545,34
SHOCK_FREE,25592,25649,58
SHOCK_FREE,25682,25707,26
SHOCK_FREE,25710,25755,46
SHOCK_FREE,25814,25841,28
SHOCK_FREE,25878,25899,22
